"Timestamp","Vilken åldersgrupp tillhör du?","Är du prenumerant hos DN?","Hur troligt är det att du tecknar paketet?","","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?","Hur troligt är det att du tecknar paketet?"
"2021/03/22 2:22:04 pm CET","Över 65 år","Ja (enbart digitalt)","3","","3","1","2","2","1","3","2"
"2021/03/22 2:22:16 pm CET","40-65 år","Ja (papperstidning)","4","ger mig tillgång till artiklar + nyhetsarkivet = det jag söker","4","3","2","5","4","3","4"
"2021/03/22 2:22:37 pm CET","40-65 år","Ja (papperstidning)","3","Skulle uppskatta referenspris tex per utgivningsdag ","1","3","2","4","3","1","4"
"2021/03/22 2:23:14 pm CET","40-65 år","Ja (enbart digitalt)","5","bra pris, flera konton","2","1","5","5","3","2","3"
"2021/03/22 2:23:28 pm CET","Över 65 år","Ja (papperstidning)","5","Digitala korsord och alla artiklar i DN.se","3","3","5","5","4","3","4"
"2021/03/22 2:25:22 pm CET","Över 65 år","Ja (enbart digitalt)","4","Priset","1","1","4","2","2","1","2"
"2021/03/22 2:27:59 pm CET","40-65 år","Ja (enbart digitalt)","4","Tittar ändå bara på nyheter så punkt1 och pris","1","1","5","5","1","1","1"
"2021/03/22 2:30:34 pm CET","Över 65 år","Ja (papperstidning)","3","Jag läser alltid digitala DN också, men pspper om jag vill djupläsa och det är mycket svårt att hitta artiklar på digitala- i jämförelse med  t ex googling ","1","1","3","3","2","2","2"
"2021/03/22 2:31:03 pm CET","40-65 år","Ja (papperstidning)","2","digital läsning är en nödlösning vintertid då det inte levereras tidning till där jag bor","2","2","2","2","2","2","2"
"2021/03/22 2:33:13 pm CET","Under 30 år","Ja (enbart digitalt)","1","jag får gratis från skolan :D","1","1","3","2","1","1","1"
"2021/03/22 2:33:36 pm CET","Över 65 år","Ja (enbart digitalt)","5","Jag har paketet men kan inte läsa allt","1","1","1","1","1","1","1"
"2021/03/22 2:38:43 pm CET","40-65 år","Ja (enbart digitalt)","1","","1","1","3","2","1","1","1"
"2021/03/22 2:39:05 pm CET","40-65 år","Ja (papperstidning)","4","Har haft digital pren förut och gilla den","1","1","3","4","2","1","2"
"2021/03/22 2:41:28 pm CET","30-39 år","Ja (enbart digitalt)","4","Prisvärt och har det nödvändiga.","3","2","5","5","2","3","2"
"2021/03/22 2:41:51 pm CET","Under 30 år","Ja (enbart digitalt)","4","","1","1","1","3","1","1","1"
"2021/03/22 2:42:21 pm CET","30-39 år","Ja (enbart digitalt)","5","Rimlig kostnad för att ta del av nyhetersartiklar och annan journalistik","1","1","5","5","1","1","1"
"2021/03/22 2:42:54 pm CET","30-39 år","Ja (enbart digitalt)","4","Jag är mest intresserad av alla artiklar på DN.se samt de tre extra kontona, men skulle ändå teckna avtalet även om jag inte är intresserad av t.ex. digitala korsord. ","1","2","3","4","1","1","2"
"2021/03/22 2:45:50 pm CET","Över 65 år","Ja (enbart digitalt)","4","Det jag vill ha","1","1","3","4","3","1","3"
"2021/03/22 2:46:09 pm CET","Över 65 år","Ja (enbart digitalt)","4","","1","1","2","2","1","1","1"
"2021/03/22 2:46:15 pm CET","40-65 år","Ja (enbart digitalt)","5","Er avgift på 50kr för varje flytt till fritidshuset blir totalt för mycket så så valde jag att skippa papperstidningen.","1","1","5","5","2","1","4"
"2021/03/22 2:46:59 pm CET","40-65 år","Ja (enbart digitalt)","5","","2","2","2","2","2","2","2"
"2021/03/22 2:47:53 pm CET","40-65 år","Ja (enbart digitalt)","5","Att komma åt samtliga artiklar på tidnings webbplats är helt centralt. Övrigt, som korsord, rabatter och fler konton är helt ointressant. ","1","1","5","5","1","1","1"
"2021/03/22 2:48:09 pm CET","Över 65 år","Ja (enbart digitalt)","5","","1","1","3","2","2","1","2"
"2021/03/22 2:50:01 pm CET","40-65 år","Ja (papperstidning)","4","","1","1","3","3","2","1","3"
"2021/03/22 2:51:36 pm CET","Över 65 år","Ja (papperstidning)","5","","2","2","3","4","2","2","2"
"2021/03/22 2:51:39 pm CET","40-65 år","Ja (enbart digitalt)","1","Börjar tröttna på DN","1","1","1","1","1","1","1"
"2021/03/22 2:52:29 pm CET","Över 65 år","Ja (enbart digitalt)","2","En hundralapp, inte mycket mer, är OK","1","1","2","2","2","1","2"
"2021/03/22 2:53:12 pm CET","Över 65 år","Ja (enbart digitalt)","4","Det passar mej bra. Vill bara ha nyheter inte annonser och liknande.","1","1","4","4","2","1","1"
"2021/03/22 2:54:40 pm CET","40-65 år","Nej, men har varit förut","1","Har inte tid att läsa, så även 10,- vore för mycket...","1","1","1","1","1","1","1"
"2021/03/22 2:55:17 pm CET","Över 65 år","Ja (enbart digitalt)","2","jag tycker att kostnaden är 20 kr för hög","1","1","2","2","1","1","1"
"2021/03/22 2:55:32 pm CET","40-65 år","Ja (enbart digitalt)","4","Hyfsat prisvärt. Har det abonnemanget nu. Tycker SÖKET är dåligt. Jättedåligt att man inte kan vara med i t ex DN:s filmklubb. ","2","1","1","2","1","1","3"
"2021/03/22 2:55:57 pm CET","40-65 år","Ja (enbart digitalt)","1","Jag har redan ett digitalt abonnemang för 99 kr/månad","1","1","1","1","1","1","1"
"2021/03/22 2:57:40 pm CET","40-65 år","Ja (enbart digitalt)","3","Eftersom jag har GP som grund är DN ett tillägg och då är 99 ett absolut maxpris.","1","1","3","2","1","1","1"
"2021/03/22 3:00:06 pm CET","30-39 år","Ja (enbart digitalt)","4","","3","1","3","5","2","1","4"
"2021/03/22 3:00:30 pm CET","Över 65 år","Ja (enbart digitalt)","4","","1","1","5","4","1","1","1"
"2021/03/22 3:01:17 pm CET","Över 65 år","Ja (papperstidning)","4","Jag tycker kostnaden är OK och att tre st. konton dessutom ingår.","1","2","4","4","3","2","2"
"2021/03/22 3:04:13 pm CET","40-65 år","Ja (enbart digitalt)","4","Billigaste sättet att läsa DN. Smidigare än papper.","2","2","4","4","2","2","2"
"2021/03/22 3:06:20 pm CET","40-65 år","Ja (enbart digitalt)","3","Jag gillar att få fysisk tidning på helgen. I övrigt ett bra paket (även om varken korsord eller rabatter intresserar mig)","1","1","5","4","1","1","3"
"2021/03/22 3:08:52 pm CET","30-39 år","Ja (enbart digitalt)","2","Jag har redan digital bas men det är bara för att jag blev erbjuden 50% i ett år.","1","1","2","2","1","1","1"
"2021/03/22 3:09:55 pm CET","Över 65 år","Ja (enbart digitalt)","2","Jag vill ha allt som finns i papperstidningen","2","1","4","2","3","2","2"
"2021/03/22 3:11:42 pm CET","30-39 år","Ja (enbart digitalt)","4","Det är så jag framför allt läser DN idag. Lite oklart vad Digitalt nyhetsarkiv innebär så den delen är lite otydlig i erbjudandet, Rabatter via DN Erbjudanden är helt ointressant för mig. ","1","1","3","4","2","1","1"
"2021/03/22 3:15:07 pm CET","40-65 år","Ja (papperstidning)","3","","2","1","3","2","3","2","3"
"2021/03/22 3:15:55 pm CET","40-65 år","Ja (enbart digitalt)","1","Paketet saknar e-tidningen (samma som pappersversionen)","1","1","1","1","1","1","1"
"2021/03/22 3:16:47 pm CET","40-65 år","Ja (enbart digitalt)","3","","1","1","4","4","1","1","3"
"2021/03/22 3:19:28 pm CET","Över 65 år","Ja (enbart digitalt)","5","News are easy to read on the Net. I like sudoku too and do not change the present sudoku application.","1","1","1","5","1","1","1"
"2021/03/22 3:21:07 pm CET","40-65 år","Ja (enbart digitalt)","5","Prisvärt med tanke på allt innehåll","1","1","3","4","1","1","1"
"2021/03/22 3:21:19 pm CET","40-65 år","Ja (enbart digitalt)","4","Ett rimligt pris. ","2","2","3","5","2","2","3"
"2021/03/22 3:21:40 pm CET","40-65 år","Ja (enbart digitalt)","3","","1","2","4","5","2","1","2"
"2021/03/22 3:25:30 pm CET","Över 65 år","Ja (enbart digitalt)","5","Paketet innehållder det jag vill ha.","1","1","3","5","1","1","1"
"2021/03/22 3:26:04 pm CET","30-39 år","Ja (enbart digitalt)","2","","1","1","5","2","1","1","1"
"2021/03/22 3:26:07 pm CET","Över 65 år","Ja (papperstidning)","5","Vill läsa artiklar, inte intresserad av resten","3","3","5","5","5","3","3"
"2021/03/22 3:29:32 pm CET","40-65 år","Ja (enbart digitalt)","1","Dyrt per månad","1","1","1","1","1","1","1"
"2021/03/22 3:29:38 pm CET","40-65 år","Ja (enbart digitalt)","3","Innehållet är okej. Priset borde vara hälften. Som det nu är snubblar man på nätet över många tidningar som kräver abonnemang. Om man är positiv till detta och kan tänka sig betala till flera av de mest intressanta får priset inte var för högt för någon av dem. ","1","1","2","3","1","1","1"
"2021/03/22 3:29:43 pm CET","Över 65 år","Ja (enbart digitalt)","1","Betalning via Klarna omöjligt.... måste få en ""vanlig""  faktura","1","1","1","1","1","1","1"
"2021/03/22 3:30:01 pm CET","30-39 år","Nej, men har varit förut","2","Rabatter via DN Erbjudande säger mig absolut ingenting. ","1","2","5","4","3","1","1"
"2021/03/22 3:31:00 pm CET","40-65 år","Ja (enbart digitalt)","5","Inget behov/tid för papperstidningen. En bra källa för aktuell information. ","2","3","2","3","3","2","3"
"2021/03/22 3:31:04 pm CET","30-39 år","Ja (papperstidning)","2","Jag föredrar papperstidningen.","1","1","2","2","2","1","2"
"2021/03/22 3:31:53 pm CET","40-65 år","Nej, men har varit förut","1","Det är för dyrt (med digitala prenumerationer vill jag kunna ha fler, till en lägre kostnad/prenumeration, än när jag hade papperstidning. Det borde även vara billigare pga lägre omkostnader kring tidningarna (inget papper, inget tryckeri, inga tidningsbud).","1","1","1","1","1","1","1"
"2021/03/22 3:33:27 pm CET","Över 65 år","Ja (enbart digitalt)","5","Det är en bra pris","1","1","1","5","1","1","1"
"2021/03/22 3:34:41 pm CET","40-65 år","Ja (papperstidning)","5","Prisvärt med allt som i pappers-DN men jsg vill ha pappers-DN.","2","3","3","4","4","3","3"
"2021/03/22 3:35:14 pm CET","Över 65 år","Ja (papperstidning)","2","Tycker det är jobbigt för mina ögon att enbart titta på skärm. Bättre med papper.","1","2","1","2","2","1","2"
"2021/03/22 3:35:15 pm CET","40-65 år","Ja (enbart digitalt)","4","Ger en bra helhet","2","2","4","4","2","2","2"
"2021/03/22 3:36:22 pm CET","40-65 år","Ja (enbart digitalt)","3","","1","1","3","4","1","1","1"
"2021/03/22 3:36:22 pm CET","40-65 år","Ja (enbart digitalt)","4","","1","1","3","4","1","1","2"
"2021/03/22 3:36:35 pm CET","30-39 år","Ja (enbart digitalt)","4","Det verkar vara motsvarande det jag har idag men att extra konton ingår vilket ju är en bonus för att kunna dela med sambon","1","1","2","4","1","1","1"
"2021/03/22 3:36:59 pm CET","40-65 år","Ja (enbart digitalt)","5","Känns som det är allt jag behöver ","1","1","5","5","1","1","1"
"2021/03/22 3:37:56 pm CET","40-65 år","Ja (enbart digitalt)","3","","1","4","3","4","2","4","4"
"2021/03/22 3:38:06 pm CET","40-65 år","Ja (papperstidning)","1","Jag vill läsa en papperstidning ","1","1","1","1","1","1","1"
"2021/03/22 3:38:23 pm CET","40-65 år","Nej, men har varit förut","3","","1","1","3","3","2","1","1"
"2021/03/22 3:41:04 pm CET","Över 65 år","Ja (enbart digitalt)","1","kanske förstod jag inte erbjudandet. Men om den digitala tidningenäven ingår blir svart en 5:a","1","1","5","5","2","1","1"
"2021/03/22 3:41:52 pm CET","30-39 år","Ja (enbart digitalt)","5","","2","2","5","5","1","1","3"
"2021/03/22 3:43:29 pm CET","30-39 år","Ja (enbart digitalt)","4","Känns prisvärt att få med extra konton till andra i hushållet för 119kr/mån. ","1","2","4","4","1","3","4"
"2021/03/22 3:44:03 pm CET","40-65 år","Ja (enbart digitalt)","3","om ekonomin hjälper så fortsätter jag.....","1","1","4","4","1","1","3"
"2021/03/22 3:44:33 pm CET","40-65 år","Ja (enbart digitalt)","4","","1","1","4","4","1","1","1"
"2021/03/22 3:45:38 pm CET","Över 65 år","Ja (enbart digitalt)","3","En del saker som korsord o extra konton behövs ej.","1","1","5","4","2","1","1"
"2021/03/22 3:45:52 pm CET","40-65 år","Ja (papperstidning)","2","Det är inte en papperstidning","2","2","2","2","2","2","2"
"2021/03/22 3:46:38 pm CET","40-65 år","Ja (enbart digitalt)","3","Bra att jag får tre extra konton men kostnaden är lite hög då jag även betalar för lokaltidningen. Rabatter via DN eebjudanden intresserar mig inte så det betalar jag helst inte för.","1","1","2","3","1","1","1"
"2021/03/22 3:48:11 pm CET","40-65 år","Nej, men har varit förut","4","vet ej","1","2","4","4","2","2","3"
"2021/03/22 3:49:04 pm CET","Över 65 år","Ja (enbart digitalt)","5","Mycket prisvärt sätt att få läsa kvalitetsartiklar!","3","3","5","3","3","2","2"
"2021/03/22 3:49:17 pm CET","40-65 år","Ja (enbart digitalt)","4","Attraktivt m tillgång till alla artiklar från flera konton","2","1","1","3","1","1","3"
"2021/03/22 3:50:23 pm CET","40-65 år","Ja (papperstidning)","4","Tyckte priset verkade rimligt i förhållande till innehåll och jämfört med papperstidning","1","1","4","5","2","1","2"
"2021/03/22 3:50:58 pm CET","Över 65 år","Ja (enbart digitalt)","3","Jag prenumererar read på en lokal dagstidning och den ""måsta"" jag ha. Ännu en tidning - det handlar om kostnaden, och tiden jag har att läsan","2","2","4","3","3","2","3"
"2021/03/22 3:51:19 pm CET","Över 65 år","Ja (enbart digitalt)","4","rätt OK bevakning + krönikor","1","1","4","4","2","1","2"
"2021/03/22 3:51:37 pm CET","40-65 år","Ja (enbart digitalt)","3","Inget behov av app, korsord eller DN erbjudanden","1","1","3","2","1","1","1"
"2021/03/22 3:52:00 pm CET","30-39 år","Ja (enbart digitalt)","2","Dyrt och mycket skräp förutom nyheter ingår. ","1","1","3","1","1","1","1"
"2021/03/22 3:53:28 pm CET","40-65 år","Nej och har aldrig varit","1","1428 per år är för mycket eftersom jag inte läser många artiklar på djupet. Påtvingade skattefinansierat media snedvrider konkurrensen. Tyvärr.  ","1","1","1","1","1","1","1"
"2021/03/22 3:53:33 pm CET","30-39 år","Ja (enbart digitalt)","3","Jag vill bara ha åtkomst åt artiklarna. Korsord, rabatter och fler konton är ointressant för mig.","1","1","2","3","1","1","1"
"2021/03/22 3:53:36 pm CET","Över 65 år","Ja (enbart digitalt)","2","borde finnas pensionärs rabatt","1","1","2","2","1","1","1"
"2021/03/22 3:55:16 pm CET","40-65 år","Ja (papperstidning)","5","Den stämmer bra in på mitt behov och vad jag betalar för liknande tjänster och innehåller ungefär samma utbud. Skulle dock vilja ha 4 extra konton. 5 känns bättre.","1","2","4","3","1","1","3"
"2021/03/22 3:57:02 pm CET","40-65 år","Ja (papperstidning)","2","Min sambo vill läsa tidningen i pappersform.. För mig hade det varit ett bra alternativ till ett bra pris och jag hade svarat 5.","1","1","3","3","1","1","1"
"2021/03/22 3:58:51 pm CET","40-65 år","Nej, men har varit förut","3","","1","1","3","4","1","1","1"
"2021/03/22 3:58:55 pm CET","40-65 år","Ja (papperstidning)","4","Prisvärt","1","1","4","4","2","1","1"
"2021/03/22 3:58:56 pm CET","40-65 år","Nej, men har varit förut","3","","1","1","3","4","1","1","1"
"2021/03/22 3:59:25 pm CET","40-65 år","Ja (papperstidning)","2","Föredrar papoerstidning","2","2","2","2","2","2","2"
"2021/03/22 3:59:36 pm CET","Över 65 år","Ja (enbart digitalt)","5","Innehåller det som är attraktivt för mig","1","1","3","3","1","1","3"
"2021/03/22 4:01:05 pm CET","Över 65 år","Ja (papperstidning)","5","liknar papperstidningen","1","2","1","1","3","5","1"
"2021/03/22 4:01:17 pm CET","40-65 år","Ja (enbart digitalt)","4","3 extra konton är bra för telefonen, plattan och den stationära datorn. Prisvärt för att nå alla artiklar via datorn/appen samt vissa prisvärda erbjudanden.","1","1","3","4","1","2","4"
"2021/03/22 4:02:01 pm CET","40-65 år","Ja (enbart digitalt)","4","ETIDNING ÄR ÖVERPRISAD, HAR SYDSVENSKAN REDAN SÅ DET FINNS EN EKONOMISK GRÄNS","1","1","4","4","2","1","1"
"2021/03/22 4:03:36 pm CET","40-65 år","Ja (enbart digitalt)","3","Jag är helt ointresserad av korsord och rabatter. Jag vill ha journalistiken, inget mer.","1","1","4","5","2","1","1"
"2021/03/22 4:03:42 pm CET","30-39 år","Ja (enbart digitalt)","4","Att man kan dela med sig av prenumerationen gör den mer prisvärd. ","1","3","1","2","1","1","2"
"2021/03/22 4:04:16 pm CET","40-65 år","Nej, men har varit förut","2","Onödigt mycket med vill inte ha några rabatterbjudanden","1","2","4","2","2","2","2"
"2021/03/22 4:04:20 pm CET","40-65 år","Ja (papperstidning)","4","","1","1","4","2","1","1","3"
"2021/03/22 4:05:59 pm CET","Över 65 år","Ja (papperstidning)","1","Jag läser pappestidningen. Ger inte det mig möjlighet att ses digitala sidor om jag behöver dem?","1","1","1","1","1","1","1"
"2021/03/22 4:09:21 pm CET","30-39 år","Ja (enbart digitalt)","5","","2","1","5","5","2","1","3"
"2021/03/22 4:09:27 pm CET","40-65 år","Ja (enbart digitalt)","3","","1","1","4","4","1","1","1"
"2021/03/22 4:10:56 pm CET","40-65 år","Ja (papperstidning)","3","Saknar e-tidningen. Den är viktig när man är van vid papperstidning. ","4","1","5","2","3","4","2"
"2021/03/22 4:12:18 pm CET","Över 65 år","Ja (enbart digitalt)","5","Allt jag behöver","4","1","2","4","3","4","5"
"2021/03/22 4:12:29 pm CET","40-65 år","Nej, men har varit förut","1","Jag nor utomlands","1","1","1","1","1","1","1"
"2021/03/22 4:15:44 pm CET","40-65 år","Ja (enbart digitalt)","4","jag har detta idag så då antar jag att jag har anslutit mig","2","2","4","4","3","2","4"
"2021/03/22 4:16:24 pm CET","40-65 år","Ja (enbart digitalt)","4","verkar prisvärt","1","2","4","4","1","1","2"
"2021/03/22 4:16:43 pm CET","Över 65 år","Ja (enbart digitalt)","1","119:- är för mycket","1","1","1","1","1","1","1"
"2021/03/22 4:16:56 pm CET","Över 65 år","Ja (papperstidning)","1","Tycker att om man betalar för papperstidningen så skall den digitala vara med på köpet.n","1","1","1","1","2","1","1"
"2021/03/22 4:18:57 pm CET","40-65 år","Ja (enbart digitalt)","3","Jag har svårt för den rörliga reklamen,den stör läsandet","2","2","5","5","2","2","2"
"2021/03/22 4:19:09 pm CET","40-65 år","Ja (enbart digitalt)","5","Det är som idag, och som jag trivs med, plus korsorden som jag gärna vill ha men inte har idag.","1","1","5","5","2","1","2"
"2021/03/22 4:20:23 pm CET","40-65 år","Ja (enbart digitalt)","1","Jag bryr mig inte om korsord och erbjudanden. Jag vill ha journalisik.","1","1","1","1","1","1","1"
"2021/03/22 4:20:31 pm CET","40-65 år","Ja (papperstidning)","2","Vill ha kvar papperstidning, då ingår det digitala. Dessutom är erfarenheten av just DN digitala lösningar mycket dålig, har 3 andra digitala prenumerationer där inloggningar och läsningar fungerar utmärkt men inte DN.","2","2","2","2","2","2","2"
"2021/03/22 4:21:34 pm CET","40-65 år","Ja (papperstidning)","4","Bra innehåll o pris","1","1","1","1","2","1","3"
"2021/03/22 4:22:08 pm CET","Över 65 år","Ja (enbart digitalt)","3","Digitala korsord och rabatter intresserar mig inte.","2","1","3","4","3","4","3"
"2021/03/22 4:24:06 pm CET","Över 65 år","Ja (enbart digitalt)","4","Extra konton och även appen ingår","1","1","4","5","1","1","2"
"2021/03/22 4:24:17 pm CET","40-65 år","Ja (papperstidning)","4","prisvärt, innehåller det jag vill ha","3","1","5","5","3","1","5"
"2021/03/22 4:25:35 pm CET","40-65 år","Ja (papperstidning)","1","Har beställt DN helg. När prenumerationen kom igång visade det sig att ni inte delar ut tidningen på söndagar. Ni vill inte heller ge ngn kompensation. Jag är besviken på prenumerationsavdeklningens bondfångeri.","1","1","1","1","1","1","1"
"2021/03/22 4:27:19 pm CET","Över 65 år","Ja (papperstidning)","4","tre konton och jag beöver inte papperstidning","2","3","3","4","3","2","3"
"2021/03/22 4:27:34 pm CET","40-65 år","Nej och har aldrig varit","3","Lite för dyrt","1","1","4","2","2","1","1"
"2021/03/22 4:28:09 pm CET","40-65 år","Ja (papperstidning)","2","Dyrt","1","1","2","3","1","1","1"
"2021/03/22 4:30:00 pm CET","40-65 år","Ja (papperstidning)","1","Jag vill bara ha papperstidningen","1","1","1","1","1","1","1"
"2021/03/22 4:30:56 pm CET","40-65 år","Nej och har aldrig varit","1","Brandmannen i Boden, Wolodarski!","1","1","1","1","1","1","1"
"2021/03/22 4:32:16 pm CET","40-65 år","Ja (enbart digitalt)","5","","1","1","5","5","1","1","1"
"2021/03/22 4:32:37 pm CET","Över 65 år","Ja (enbart digitalt)","5"," Bra med extra konton. Vill gärna också ha så mycket läsning som möjligt. ","1","2","2","3","3","2","3"
"2021/03/22 4:33:38 pm CET","40-65 år","Ja (enbart digitalt)","3","Lite dyrt. Inte intresserad av korsord.","1","1","4","3","2","1","1"
"2021/03/22 4:34:52 pm CET","Över 65 år","Ja (papperstidning)","5","Vi har helgprenumeration + digital tidning nu","2","2","4","4","2","3","1"
"2021/03/22 4:37:45 pm CET","40-65 år","Nej och har aldrig varit","1","DN har tyvärr utvecklats till en väldigt dålig tidning.","1","1","1","1","1","1","1"
"2021/03/22 4:40:02 pm CET","40-65 år","Nej och har aldrig varit","2","","1","1","3","1","1","1","1"
"2021/03/22 4:42:15 pm CET","Över 65 år","Ja (enbart digitalt)","5","Det är förstås artiklarna jag är ute efter.","1","1","5","5","1","1","1"
"2021/03/22 4:43:10 pm CET","Över 65 år","Ja (enbart digitalt)","5","","1","1","3","5","3","1","1"
"2021/03/22 4:45:53 pm CET","Över 65 år","Ja (enbart digitalt)","5","","5","5","5","5","5","5","5"
"2021/03/22 4:47:41 pm CET","40-65 år","Ja (enbart digitalt)","3","Kommer alltid tveka om jag behöver en prenumeration eller inte","1","1","3","3","2","2","2"
"2021/03/22 4:47:50 pm CET","40-65 år","Ja (enbart digitalt)","4","","1","1","5","5","3","2","3"
"2021/03/22 4:48:10 pm CET","Över 65 år","Ja (papperstidning)","4","Jag har redan dn kombination. Paperstidning fredag till söndag. Hoppas få behålla den på ngt sätt.","3","3","3","3","3","3","3"
"2021/03/22 4:48:38 pm CET","Över 65 år","Ja (enbart digitalt)","3","","1","1","4","3","1","1","1"
"2021/03/22 4:49:14 pm CET","Över 65 år","Ja (enbart digitalt)","3","Artiklar, arkiv och konton räcker för mig.","1","1","4","4","1","1","1"
"2021/03/22 4:50:49 pm CET","40-65 år","Nej och har aldrig varit","1","1428 per år är för mycket eftersom jag inte läser många artiklar på djupet. Påtvingade skattefinansierat media snedvrider konkurrensen. Tyvärr.  ","1","1","1","1","1","1","1"
"2021/03/22 4:51:14 pm CET","30-39 år","Ja (enbart digitalt)","5","Är det jag har, känns prisvärt","2","4","3","4","2","2","4"
"2021/03/22 4:51:51 pm CET","40-65 år","Ja (enbart digitalt)","5","Under 150 sek / tre extra konton","1","1","3","4","1","1","2"
"2021/03/22 4:52:12 pm CET","40-65 år","Nej, men har varit förut","2","För dyrt, motsvarar inte varans värde","1","1","1","2","1","1","1"
"2021/03/22 4:52:32 pm CET","30-39 år","Ja (enbart digitalt)","3","","1","1","3","4","1","1","1"
"2021/03/22 4:52:52 pm CET","40-65 år","Ja (enbart digitalt)","5","","1","1","2","2","3","1","2"
"2021/03/22 4:53:10 pm CET","40-65 år","Ja (enbart digitalt)","3","Jag tycker DN har en tendens att inte se flera sidor av saken, utan istället agera moralpredikanter på ett sätt som obland gränsar till anti-intellektuellt. Jag gillar dock vissa skribenter på dn (anna-lena, lisa, helmersson och någon till). Det räcker dock inte riktigt för att vilja köpa hela paketet. SvD känns just nu mer intressant och att ha båda blir för dyrt.","1","1","4","3","1","1","1"
"2021/03/22 4:53:14 pm CET","40-65 år","Ja (enbart digitalt)","5","","1","1","3","3","1","2","3"
"2021/03/22 4:54:59 pm CET","40-65 år","Ja (enbart digitalt)","3","Ett rimligt pris","2","1","3","3","2","2","2"
"2021/03/22 4:55:03 pm CET","30-39 år","Ja (enbart digitalt)","2","","1","1","2","3","1","1","1"
"2021/03/22 4:56:23 pm CET","Över 65 år","Nej och har aldrig varit","1","Dn är ingen lokal tidning. Men om jag är i Stockholm köper jag Dn.","1","1","1","1","1","1","1"
"2021/03/22 4:56:28 pm CET","40-65 år","Ja (enbart digitalt)","1","Är inte intresserad av korsord.","1","1","3","4","1","1","1"
"2021/03/22 4:56:47 pm CET","40-65 år","Ja (enbart digitalt)","5","Prisvärt","1","1","5","5","1","1","2"
"2021/03/22 4:58:19 pm CET","Under 30 år","Ja (enbart digitalt)","4","Tillgång till rapporteringen, och så kanman dela det med några vänner så det inte blir så dyrt!","2","3","2","4","1","2","4"
"2021/03/22 4:59:06 pm CET","Över 65 år","Nej och har aldrig varit","1","Inget behov.","1","1","1","1","1","1","1"
"2021/03/22 4:59:40 pm CET","Över 65 år","Ja (enbart digitalt)","5","Därför att där ingar de saker jag brukar läsa","3","3","5","3","3","5","3"
"2021/03/22 5:00:22 pm CET","40-65 år","Ja (enbart digitalt)","4","Mycket bra men innehåller ju inte allt","2","2","2","5","2","1","3"
"2021/03/22 5:01:40 pm CET","40-65 år","Ja (enbart digitalt)","3","vore bra att kunna jämföra andra paket innan man svarar här men kort så är priset rätt okej för min ekonomi, jag är dock endast intresserad av nyheterna på webben, så de andra bryr jag mig inte så mkt om","1","1","4","3","2","1","2"
"2021/03/22 5:01:50 pm CET","Över 65 år","Ja (enbart digitalt)","3","Om jag tänker på digital helgprenumeration så är den perfekt för mig","2","3","2","2","2","2","2"
"2021/03/22 5:02:39 pm CET","40-65 år","Ja (enbart digitalt)","4","Det jag är intresserad av är dn i appen och nyhetsarkivet. Korsorden är inte intressanta sen priserna har tagits bort. Erbjudanden har jag aldrig någonsin använt","1","1","5","5","1","1","1"
"2021/03/22 5:04:05 pm CET","40-65 år","Ja (papperstidning)","1","Jag vill läsa tidningen på papper","1","1","1","1","1","1","1"
"2021/03/22 5:04:06 pm CET","Över 65 år","Ja (enbart digitalt)","3","Jag saknar erbjudanden om papperstidning. Fick inte ens testa pga att jag redan är digital prenumerant. Slutar nog prenumerera. 119-kr-prenumerationen innehåller komponenter jag inte efterfrågar. ","1","1","2","3","1","1","1"
"2021/03/22 5:04:19 pm CET","40-65 år","Ja (enbart digitalt)","3","prisvärt","2","3","4","3","3","1","3"
"2021/03/22 5:05:21 pm CET","40-65 år","Ja (enbart digitalt)","1","Vill också ha en ditital tidning att bläddra i.","1","1","1","1","1","3","1"
"2021/03/22 5:07:39 pm CET","Över 65 år","Ja (papperstidning)","1","Jag har inte smart telefon","1","1","1","1","1","1","1"
"2021/03/22 5:08:08 pm CET","40-65 år","Ja (enbart digitalt)","4","","2","2","4","4","2","2","2"
"2021/03/22 5:09:35 pm CET","Över 65 år","Ja (papperstidning)","4","Verkar mycket prisvärt.","2","3","4","4","2","3","2"
"2021/03/22 5:11:42 pm CET","Över 65 år","Ja (enbart digitalt)","3","","1","1","5","1","3","1","1"
"2021/03/22 5:13:38 pm CET","30-39 år","Ja (enbart digitalt)","3","","1","1","2","1","1","1","1"
"2021/03/22 5:13:39 pm CET","Över 65 år","Ja (enbart digitalt)","4","No comments","2","2","3","3","3","2","3"
"2021/03/22 5:14:56 pm CET","40-65 år","Ja (enbart digitalt)","3","Liknar väl det jag har nu.","1","1","2","3","2","1","2"
"2021/03/22 5:16:13 pm CET","Över 65 år","Ja (enbart digitalt)","3","Jag löser inte korsord eller utnyttjar rabatterna eftersom de oftast är Stockholmsorienterade","1","4","5","5","4","2","3"
"2021/03/22 5:16:54 pm CET","40-65 år","Ja (enbart digitalt)","3","DN är komplement till övriga tidningar, nyheterrmrnt ","1","1","4","4","2","1","2"
